cluster_label,source_row_index,source_material_id,source_formula_pretty_x,neighbor_row_index,neighbor_material_id,neighbor_formula_pretty,similarity_distance,similarity_rank_within_source,similarity_distance_percentile,similarity_level,source_formula_pretty_y,source_cost,source_unit,source_year,source_cost_class,source_cost_rank_within_cluster,neighbor_formula_pretty_verified,neighbor_cost,neighbor_unit,neighbor_year,neighbor_cost_class,neighbor_cost_rank_within_cluster,cost_difference,cost_saving,is_lower_cost_alternative
0,7411,mp-557905,Cu3Mo8Br2O23,21937,mp-1194833,P3RuW2O15,1.1118880973416565,3,0.6,moderate_similarity,Cu3Mo8Br2O23,9947.305,($/mt),2025.0,medium_cost,7,P3RuW2O15,152.5,($/mt),2025.0,low_cost,2,-9794.805,9794.805,True
2,21735,mp-558838,NiPtF6,33309,mp-8256,ZnPtF6,0.1372251828838195,2,0.4,moderate_similarity,NiPtF6,15162.1583333333,($/mt),2025.0,high_cost,9,ZnPtF6,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True
4,7439,mp-559633,Cu6PbO8,224,mp-761035,AgRuO4,0.175741571676811,1,0.2,high_similarity,Cu6PbO8,9947.305,($/mt),2025.0,medium_cost,8,AgRuO4,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True
1,26835,mp-560193,SnSe2(Cl4O)2,406,mp-558360,AlAs3S5Cl4,0.3462516223355446,1,0.2,high_similarity,SnSe2(Cl4O)2,34058.8358333333,($/mt),2025.0,high_cost,10,AlAs3S5Cl4,2631.69583333333,($/mt),2025.0,medium_cost,5,-31427.13999999997,31427.13999999997,True
2,21647,mp-560757,Ni3Mo2SeO11,33126,mp-721702,Zn2AsHO5,0.405664498659694,3,0.6,moderate_similarity,Ni3Mo2SeO11,15162.1583333333,($/mt),2025.0,high_cost,9,Zn2AsHO5,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True
1,7478,mp-570081,CuI,33340,mp-2176,ZnTe,0.5137504264998344,1,0.2,high_similarity,CuI,9947.305,($/mt),2025.0,high_cost,8,ZnTe,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True
2,33135,mp-5909,Zn2GeO4,213,mp-18702,AgPO3,0.2012763399519363,1,0.2,high_similarity,Zn2GeO4,2867.52833333333,($/mt),2025.0,medium_cost,6,AgPO3,39.80466666667,($/troy oz),2025.0,low_cost,1,-2827.72366666666,2827.72366666666,True
2,7514,mp-606617,CuSb2(XeF8)2,225,mp-1202574,AgS2(O3F)2,0.5981182865658807,1,0.2,high_similarity,CuSb2(XeF8)2,9947.305,($/mt),2025.0,high_cost,8,AgS2(O3F)2,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True
3,519,mp-607111,AlPt3,21909,mp-13871,P2Pt5,0.5655779568926147,2,0.4,moderate_similarity,AlPt3,2631.69583333333,($/mt),2025.0,low_cost,5,P2Pt5,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True
1,421,mp-607454,AlC3(NCl2)3,164,mp-556837,AgAs(S8F3)2,0.5265673284355219,1,0.2,high_similarity,AlC3(NCl2)3,2631.69583333333,($/mt),2025.0,medium_cost,5,AgAs(S8F3)2,39.80466666667,($/troy oz),2025.0,low_cost,1,-2591.89116666666,2591.89116666666,True
